run,repetition,combo_idx,seed,p_depol,cutoff_active,n_mem,delivered_AC,delivered_BD,delivered_total,meanF_AC,meanF_BD,meanF_total,attempts
159.0,20.0,7.0,20.0,0.02,0.0,10.0,260.0,235.0,495.0,0.7153514488640002,0.7180010612508798,0.7166762550574399,1.0
160.0,20.0,8.0,20.0,0.02,0.0,20.0,235.0,260.0,495.0,0.6518258220520454,0.6360715660713109,0.6439486940616781,1.0
161.0,21.0,1.0,21.0,0.02,0.0,5.0,218.0,223.0,441.0,0.7749489100601558,0.7769255793236625,0.7759372446919091,1.0
162.0,21.0,2.0,21.0,0.02,1.0,5.0,56.0,60.0,116.0,0.9053267117455308,0.8991179003299022,0.9022223060377166,1.0
163.0,21.0,3.0,21.0,0.05,0.0,5.0,216.0,223.0,439.0,0.7242613456867161,0.7282028014331489,0.7262320735599325,1.0
164.0,21.0,4.0,21.0,0.05,1.0,5.0,76.0,86.0,162.0,0.8410770563128507,0.8375963772793872,0.839336716796119,1.0
165.0,21.0,5.0,21.0,0.1,0.0,5.0,218.0,223.0,441.0,0.6570662610195354,0.6576058815279244,0.65733607127373,1.0
166.0,21.0,6.0,21.0,0.1,1.0,5.0,55.0,62.0,117.0,0.7480085532246356,0.7515138226220978,0.7497611879233667,1.0
167.0,21.0,7.0,21.0,0.02,0.0,10.0,218.0,223.0,441.0,0.7077748879869493,0.6948479051421041,0.7013113965645268,1.0
168.0,21.0,8.0,21.0,0.02,0.0,20.0,211.0,228.0,439.0,0.6313885287094839,0.6247596432794921,0.628074085994488,1.0
169.0,22.0,1.0,22.0,0.02,0.0,5.0,244.0,253.0,497.0,0.7769115148601331,0.7849860297897887,0.7809487723249608,1.0
170.0,22.0,2.0,22.0,0.02,1.0,5.0,56.0,51.0,107.0,0.9030886605408291,0.9033695517047746,0.9032291061228019,1.0
171.0,22.0,3.0,22.0,0.05,0.0,5.0,242.0,254.0,496.0,0.7254264954465858,0.7393335606049172,0.7323800280257515,1.0
172.0,22.0,4.0,22.0,0.05,1.0,5.0,39.0,46.0,85.0,0.8431588429309068,0.8460687605908366,0.8446138017608718,1.0
173.0,22.0,5.0,22.0,0.1,0.0,5.0,250.0,250.0,500.0,0.6629274088635987,0.6653886509224306,0.6641580298930146,1.0
174.0,22.0,6.0,22.0,0.1,1.0,5.0,66.0,79.0,145.0,0.758811639204828,0.7555186340057314,0.7571651366052796,1.0
175.0,22.0,7.0,22.0,0.02,0.0,10.0,250.0,248.0,498.0,0.7069369115418962,0.7130297810133339,0.7099833462776151,1.0
176.0,22.0,8.0,22.0,0.02,0.0,20.0,251.0,249.0,500.0,0.6217357891207488,0.6531236994145263,0.6374297442676375,1.0
177.0,23.0,1.0,23.0,0.02,0.0,5.0,262.0,236.0,498.0,0.7912773511257921,0.7846629445401746,0.7879701478329834,1.0
178.0,23.0,2.0,23.0,0.02,1.0,5.0,64.0,68.0,132.0,0.9057633503953526,0.8984328930001776,0.902098121697765,1.0
179.0,23.0,3.0,23.0,0.05,0.0,5.0,252.0,240.0,492.0,0.7311614751982879,0.7406414375175174,0.7359014563579027,1.0
180.0,23.0,4.0,23.0,0.05,1.0,5.0,41.0,45.0,86.0,0.8520012474690397,0.8540796163409636,0.8530404319050017,1.0
181.0,23.0,5.0,23.0,0.1,0.0,5.0,260.0,234.0,494.0,0.6674837499944883,0.6623360240829642,0.6649098870387262,1.0
182.0,23.0,6.0,23.0,0.1,1.0,5.0,50.0,52.0,102.0,0.7622664571187798,0.7517987962677928,0.7570326266932863,1.0
183.0,23.0,7.0,23.0,0.02,0.0,10.0,247.0,248.0,495.0,0.7147313321685976,0.7238127088379558,0.7192720205032768,1.0
184.0,23.0,8.0,23.0,0.02,0.0,20.0,247.0,245.0,492.0,0.6383924236129958,0.6501502617128835,0.6442713426629396,1.0
185.0,24.0,1.0,24.0,0.02,0.0,5.0,227.0,241.0,468.0,0.7823898034504438,0.7799939576947569,0.7811918805726004,1.0
186.0,24.0,2.0,24.0,0.02,1.0,5.0,56.0,53.0,109.0,0.896588127075372,0.9083333165816911,0.9024607218285317,1.0
187.0,24.0,3.0,24.0,0.05,0.0,5.0,229.0,237.0,466.0,0.7387920322525608,0.7353023633403626,0.7370471977964617,1.0
188.0,24.0,4.0,24.0,0.05,1.0,5.0,51.0,49.0,100.0,0.8394799722688655,0.8448729668623303,0.8421764695655979,1.0
189.0,24.0,5.0,24.0,0.1,0.0,5.0,240.0,223.0,463.0,0.6626070120284466,0.6590564101862838,0.6608317111073652,1.0
190.0,24.0,6.0,24.0,0.1,1.0,5.0,54.0,54.0,108.0,0.7494528847861488,0.7500513435346579,0.7497521141604033,1.0
191.0,24.0,7.0,24.0,0.02,0.0,10.0,242.0,226.0,468.0,0.7123699914916923,0.7203841779912756,0.716377084741484,1.0
